[12.464s][info][gc,start     ] GC(19) Pause Young (Normal) (G1 Evacuation Pause)
[12.464s][info][gc,task      ] GC(19) Using 13 workers of 13 for evacuation
[12.489s][info][gc,phases    ] GC(19)   Pre Evacuate Collection Set: 0.0ms
[12.489s][info][gc,phases    ] GC(19)   Evacuate Collection Set: 23.8ms
[12.489s][info][gc,phases    ] GC(19)   Post Evacuate Collection Set: 0.6ms
[12.489s][info][gc,phases    ] GC(19)   Other: 0.4ms
[12.489s][info][gc,heap      ] GC(19) Eden regions: 1141->0(1144)
[12.489s][info][gc,heap      ] GC(19) Survivor regions: 87->84(154)
[12.489s][info][gc,heap      ] GC(19) Old regions: 95->111
[12.489s][info][gc,heap      ] GC(19) Humongous regions: 77->37
[12.489s][info][gc,metaspace ] GC(19) Metaspace: 7318K(7680K)->7318K(7680K) NonClass: 6680K(6912K)->6680K(6912K) Class: 638K(768K)->638K(768K)
[12.489s][info][gc           ] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 1400M->231M(2048M) 24.923ms
[12.489s][info][gc,cpu       ] GC(19) User=0.41s Sys=0.00s Real=0.02s
[13.580s][info][gc,start     ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[13.580s][info][gc,task      ] GC(20) Using 13 workers of 13 for evacuation
[13.608s][info][gc,phases    ] GC(20)   Pre Evacuate Collection Set: 0.0ms
[13.608s][info][gc,phases    ] GC(20)   Evacuate Collection Set: 26.4ms
[13.608s][info][gc,phases    ] GC(20)   Post Evacuate Collection Set: 0.6ms
[13.608s][info][gc,phases    ] GC(20)   Other: 0.4ms
[13.608s][info][gc,heap      ] GC(20) Eden regions: 1144->0(1144)
[13.608s][info][gc,heap      ] GC(20) Survivor regions: 84->84(154)
[13.608s][info][gc,heap      ] GC(20) Old regions: 111->127
[13.608s][info][gc,heap      ] GC(20) Humongous regions: 86->37
[13.608s][info][gc,metaspace ] GC(20) Metaspace: 7318K(7680K)->7318K(7680K) NonClass: 6680K(6912K)->6680K(6912K) Class: 638K(768K)->638K(768K)
[13.608s][info][gc           ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 1424M->246M(2048M) 27.600ms
[13.608s][info][gc,cpu       ] GC(20) User=0.20s Sys=0.00s Real=0.03s
[14.707s][info][gc,start     ] GC(21) Pause Young (Normal) (G1 Evacuation Pause)
[14.707s][info][gc,task      ] GC(21) Using 13 workers of 13 for evacuation
[14.735s][info][gc,phases    ] GC(21)   Pre Evacuate Collection Set: 0.0ms
