[1.600s][info][gc,metaspace] GC(16) Metaspace: 1767K(1856K)->1767K(1856K) NonClass: 1626K(1664K)->1626K(1664K) Class: 140K(192K)->140K(192K)
[1.600s][info][gc          ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 724M->124M(1190M) 17.956ms
[1.600s][info][gc,cpu      ] GC(16) User=0.00s Sys=0.00s Real=0.02s
[1.677s][info][gc,start    ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[1.678s][info][gc,task     ] GC(17) Using 10 workers of 10 for evacuation
[1.685s][info][gc,phases   ] GC(17)   Pre Evacuate Collection Set: 0.3ms
[1.685s][info][gc,phases   ] GC(17)   Merge Heap Roots: 0.1ms
[1.685s][info][gc,phases   ] GC(17)   Evacuate Collection Set: 6.3ms
[1.685s][info][gc,phases   ] GC(17)   Post Evacuate Collection Set: 0.5ms
[1.685s][info][gc,phases   ] GC(17)   Other: 0.2ms
[1.685s][info][gc,heap     ] GC(17) Eden regions: 668->0(661)
[1.685s][info][gc,heap     ] GC(17) Survivor regions: 46->53(90)
[1.685s][info][gc,heap     ] GC(17) Old regions: 71->71
[1.685s][info][gc,heap     ] GC(17) Humongous regions: 13->11
[1.685s][info][gc,metaspace] GC(17) Metaspace: 1769K(1856K)->1769K(1856K) NonClass: 1629K(1664K)->1629K(1664K) Class: 140K(192K)->140K(192K)
[1.685s][info][gc          ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 797M->134M(1190M) 7.615ms
[1.685s][info][gc,cpu      ] GC(17) User=0.02s Sys=0.00s Real=0.01s
[1.749s][info][gc,start    ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[1.749s][info][gc,task     ] GC(18) Using 10 workers of 10 for evacuation
[1.758s][info][gc,phases   ] GC(18)   Pre Evacuate Collection Set: 0.3ms
[1.758s][info][gc,phases   ] GC(18)   Merge Heap Roots: 0.1ms
[1.758s][info][gc,phases   ] GC(18)   Evacuate Collection Set: 8.4ms
[1.758s][info][gc,phases   ] GC(18)   Post Evacuate Collection Set: 0.6ms
[1.758s][info][gc,phases   ] GC(18)   Other: 0.1ms
[1.758s][info][gc,heap     ] GC(18) Eden regions: 661->0(661)
[1.758s][info][gc,heap     ] GC(18) Survivor regions: 53->53(90)
[1.758s][info][gc,heap     ] GC(18) Old regions: 71->77
[1.758s][info][gc,heap     ] GC(18) Humongous regions: 12->11
[1.758s][info][gc,metaspace] GC(18) Metaspace: 1769K(1856K)->1769K(1856K) NonClass: 1629K(1664K)->1629K(1664K) Class: 140K(192K)->140K(192K)
