[2.439s][info][gc,heap      ] GC(16) Humongous regions: 82->77
[2.439s][info][gc,metaspace ] GC(16) Metaspace: 6876K(7168K)->6876K(7168K) NonClass: 6286K(6400K)->6286K(6400K) Class: 589K(768K)->589K(768K)
[2.439s][info][gc           ] GC(16) Pause Young (Concurrent Start) (G1 Humongous Allocation) 1190M->1132M(2267M) 8.280ms
[2.439s][info][gc,cpu       ] GC(16) User=0.00s Sys=0.00s Real=0.01s
[2.439s][info][gc           ] GC(17) Concurrent Cycle
[2.439s][info][gc,marking   ] GC(17) Concurrent Clear Claimed Marks
[2.439s][info][gc,marking   ] GC(17) Concurrent Clear Claimed Marks 0.012ms
[2.439s][info][gc,marking   ] GC(17) Concurrent Scan Root Regions
[2.439s][info][gc,marking   ] GC(17) Concurrent Scan Root Regions 0.185ms
[2.439s][info][gc,marking   ] GC(17) Concurrent Mark (2.439s)
[2.439s][info][gc,marking   ] GC(17) Concurrent Mark From Roots
[2.439s][info][gc,task      ] GC(17) Using 3 workers of 3 for marking
[2.441s][info][gc,marking   ] GC(17) Concurrent Mark From Roots 2.284ms
[2.441s][info][gc,marking   ] GC(17) Concurrent Preclean
[2.441s][info][gc,marking   ] GC(17) Concurrent Preclean 0.069ms
[2.441s][info][gc,marking   ] GC(17) Concurrent Mark (2.439s, 2.441s) 2.398ms
[2.441s][info][gc,start     ] GC(17) Pause Remark
[2.442s][info][gc,stringtable] GC(17) Cleaned string and symbol table, strings: 2632 processed, 4 removed, symbols: 25756 processed, 0 removed
[2.442s][info][gc            ] GC(17) Pause Remark 1141M->1141M(2267M) 0.603ms
[2.442s][info][gc,cpu        ] GC(17) User=0.00s Sys=0.00s Real=0.00s
[2.442s][info][gc,marking    ] GC(17) Concurrent Rebuild Remembered Sets
[2.444s][info][gc,marking    ] GC(17) Concurrent Rebuild Remembered Sets 1.897ms
[2.444s][info][gc,start      ] GC(17) Pause Cleanup
[2.444s][info][gc            ] GC(17) Pause Cleanup 1146M->1146M(2267M) 0.331ms
[2.444s][info][gc,cpu        ] GC(17) User=0.00s Sys=0.00s Real=0.00s
[2.444s][info][gc,marking    ] GC(17) Concurrent Cleanup for Next Mark
[2.446s][info][gc,marking    ] GC(17) Concurrent Cleanup for Next Mark 1.080ms
[2.446s][info][gc            ] GC(17) Concurrent Cycle 6.880ms
[2.446s][info][gc,start      ] GC(18) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2.446s][info][gc,task       ] GC(18) Using 13 workers of 13 for evacuation
[2.447s][info][gc,phases     ] GC(18)   Pre Evacuate Collection Set: 0.0ms
[2.447s][info][gc,phases     ] GC(18)   Evacuate Collection Set: 0.8ms
[2.447s][info][gc,phases     ] GC(18)   Post Evacuate Collection Set: 0.1ms
[2.447s][info][gc,phases     ] GC(18)   Other: 0.1ms
[2.447s][info][gc,heap       ] GC(18) Eden regions: 16->0(370)
[2.447s][info][gc,heap       ] GC(18) Survivor regions: 13->17(55)
[2.447s][info][gc,heap       ] GC(18) Old regions: 1043->1043
[2.447s][info][gc,heap       ] GC(18) Humongous regions: 79->77
[2.447s][info][gc,metaspace  ] GC(18) Metaspace: 6876K(7168K)->6876K(7168K) NonClass: 6286K(6400K)->6286K(6400K) Class: 589K(768K)->589K(768K)
[2.447s][info][gc            ] GC(18) Pause Young (Concurrent Start) (G1 Humongous Allocation) 1150M->1136M(2267M) 1.184ms
[2.447s][info][gc,cpu        ] GC(18) User=0.00s Sys=0.00s Real=0.00s
[2.447s][info][gc            ] GC(19) Concurrent Cycle
[2.447s][info][gc,marking    ] GC(19) Concurrent Clear Claimed Marks
[2.447s][info][gc,marking    ] GC(19) Concurrent Clear Claimed Marks 0.010ms
[2.447s][info][gc,marking    ] GC(19) Concurrent Scan Root Regions
[2.447s][info][gc,marking    ] GC(19) Concurrent Scan Root Regions 0.032ms
[2.447s][info][gc,marking    ] GC(19) Concurrent Mark (2.447s)
[2.447s][info][gc,marking    ] GC(19) Concurrent Mark From Roots
[2.447s][info][gc,task       ] GC(19) Using 3 workers of 3 for marking
[2.449s][info][gc,marking    ] GC(19) Concurrent Mark From Roots 1.796ms
[2.449s][info][gc,marking    ] GC(19) Concurrent Preclean
[2.449s][info][gc,marking    ] GC(19) Concurrent Preclean 0.082ms
[2.449s][info][gc,marking    ] GC(19) Concurrent Mark (2.447s, 2.449s) 1.925ms
[2.449s][info][gc,start      ] GC(19) Pause Remark
[2.450s][info][gc,stringtable] GC(19) Cleaned string and symbol table, strings: 2628 processed, 0 removed, symbols: 25756 processed, 0 removed
[2.450s][info][gc            ] GC(19) Pause Remark 1145M->1145M(2267M) 0.443ms
[2.450s][info][gc,cpu        ] GC(19) User=0.00s Sys=0.00s Real=0.00s
[2.450s][info][gc,marking    ] GC(19) Concurrent Rebuild Remembered Sets
[2.451s][info][gc,marking    ] GC(19) Concurrent Rebuild Remembered Sets 1.222ms
[2.451s][info][gc,start      ] GC(19) Pause Cleanup
[2.451s][info][gc            ] GC(19) Pause Cleanup 1149M->1149M(2267M) 0.214ms
